preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
0.000,0.000,0.000,0.000,0.000,0.000,292.586
0.000,0.000,0.000,0.000,0.000,0.000,287.531
0.000,0.000,0.000,0.000,0.000,0.000,287.683
0.000,0.000,0.000,0.000,0.000,0.000,288.168
0.000,0.000,0.000,0.000,0.000,0.000,288.361
0.000,0.000,0.000,0.000,0.000,0.000,288.408
0.000,0.000,0.000,0.000,0.000,0.000,288.394
0.000,0.000,0.000,0.000,0.000,0.000,288.235
0.000,0.000,0.000,0.000,0.000,0.000,288.885
0.000,0.000,0.000,0.000,0.000,0.000,288.107
0.000,0.000,0.000,0.000,0.000,0.000,287.603
0.000,0.000,0.000,0.000,0.000,0.000,288.239
0.000,0.000,0.000,0.000,0.000,0.000,287.597
0.000,0.000,0.000,0.000,0.000,0.000,286.553
0.000,0.000,0.000,0.000,0.000,0.000,286.293
0.000,0.000,0.000,0.000,0.000,0.000,287.004
0.000,0.000,0.000,0.000,0.000,0.000,292.716
0.000,0.000,0.000,0.000,0.000,0.000,288.307
0.000,0.000,0.000,0.000,0.000,0.000,287.575
0.000,0.000,0.000,0.000,0.000,0.000,288.226
0.000,0.000,0.000,0.000,0.000,0.000,287.999
0.000,0.000,0.000,0.000,0.000,0.000,288.280
0.000,0.000,0.000,0.000,0.000,0.000,288.033
0.000,0.000,0.000,0.000,0.000,0.000,288.725
0.000,0.000,0.000,0.000,0.000,0.000,288.042
0.000,0.000,0.000,0.000,0.000,0.000,288.276
0.000,0.000,0.000,0.000,0.000,0.000,288.083
0.000,0.000,0.000,0.000,0.000,0.000,288.730
0.000,0.000,0.000,0.000,0.000,0.000,288.364
0.000,0.000,0.000,0.000,0.000,0.000,288.401
0.000,0.000,0.000,0.000,0.000,0.000,287.984
0.000,0.000,0.000,0.000,0.000,0.000,288.446
0.000,0.000,0.000,0.000,0.000,0.000,288.368
0.000,0.000,0.000,0.000,0.000,0.000,287.653
0.000,0.000,0.000,0.000,0.000,0.000,288.171
0.000,0.000,0.000,0.000,0.000,0.000,288.226
0.000,0.000,0.000,0.000,0.000,0.000,287.876
0.000,0.000,0.000,0.000,0.000,0.000,288.078
0.000,0.000,0.000,0.000,0.000,0.000,287.844
0.000,0.000,0.000,0.000,0.000,0.000,288.314
0.000,0.000,0.000,0.000,0.000,0.000,288.043
0.000,0.000,0.000,0.000,0.000,0.000,288.166
0.000,0.000,0.000,0.000,0.000,0.000,292.324
0.000,0.000,0.000,0.000,0.000,0.000,288.310
0.000,0.000,0.000,0.000,0.000,0.000,288.019
0.000,0.000,0.000,0.000,0.000,0.000,288.065
0.000,0.000,0.000,0.000,0.000,0.000,287.759
0.000,0.000,0.000,0.000,0.000,0.000,288.414
0.000,0.000,0.000,0.000,0.000,0.000,288.485
0.000,0.000,0.000,0.000,0.000,0.000,288.551
0.000,0.000,0.000,0.000,0.000,0.000,288.128
0.000,0.000,0.000,0.000,0.000,0.000,288.433
0.000,0.000,0.000,0.000,0.000,0.000,288.486
0.000,0.000,0.000,0.000,0.000,0.000,288.543
0.000,0.000,0.000,0.000,0.000,0.000,288.063
0.000,0.000,0.000,0.000,0.000,0.000,288.736
0.000,0.000,0.000,0.000,0.000,0.000,288.387
0.000,0.000,0.000,0.000,0.000,0.000,288.333
0.000,0.000,0.000,0.000,0.000,0.000,288.129
0.000,0.000,0.000,0.000,0.000,0.000,288.547
0.000,0.000,0.000,0.000,0.000,0.000,288.161
0.000,0.000,0.000,0.000,0.000,0.000,288.585
0.000,0.000,0.000,0.000,0.000,0.000,288.397
0.000,0.000,0.000,0.000,0.000,0.000,288.068
0.000,0.000,0.000,0.000,0.000,0.000,288.219
0.000,0.000,0.000,0.000,0.000,0.000,287.864
0.000,0.000,0.000,0.000,0.000,0.000,287.967
0.000,0.000,0.000,0.000,0.000,0.000,288.297
0.000,0.000,0.000,0.000,0.000,0.000,288.386
0.000,0.000,0.000,0.000,0.000,0.000,288.204
0.000,0.000,0.000,0.000,0.000,0.000,287.636
0.000,0.000,0.000,0.000,0.000,0.000,288.282
0.000,0.000,0.000,0.000,0.000,0.000,288.095
0.000,0.000,0.000,0.000,0.000,0.000,288.147
0.000,0.000,0.000,0.000,0.000,0.000,287.822
0.000,0.000,0.000,0.000,0.000,0.000,292.998
0.000,0.000,0.000,0.000,0.000,0.000,287.881
0.000,0.000,0.000,0.000,0.000,0.000,287.924
0.000,0.000,0.000,0.000,0.000,0.000,287.721
0.000,0.000,0.000,0.000,0.000,0.000,287.897
0.000,0.000,0.000,0.000,0.000,0.000,288.299
0.000,0.000,0.000,0.000,0.000,0.000,288.318
0.000,0.000,0.000,0.000,0.000,0.000,287.770
0.000,0.000,0.000,0.000,0.000,0.000,287.785
0.000,0.000,0.000,0.000,0.000,0.000,287.793
0.000,0.000,0.000,0.000,0.000,0.000,287.843
0.000,0.000,0.000,0.000,0.000,0.000,288.151
0.000,0.000,0.000,0.000,0.000,0.000,288.255
0.000,0.000,0.000,0.000,0.000,0.000,288.365
0.000,0.000,0.000,0.000,0.000,0.000,288.529
0.000,0.000,0.000,0.000,0.000,0.000,287.658
0.000,0.000,0.000,0.000,0.000,0.000,293.162
0.000,0.000,0.000,0.000,0.000,0.000,288.365
0.000,0.000,0.000,0.000,0.000,0.000,288.216
0.000,0.000,0.000,0.000,0.000,0.000,287.883
0.000,0.000,0.000,0.000,0.000,0.000,289.428
0.000,0.000,0.000,0.000,0.000,0.000,288.368
0.000,0.000,0.000,0.000,0.000,0.000,288.152
0.000,0.000,0.000,0.000,0.000,0.000,287.813
0.000,0.000,0.000,0.000,0.000,0.000,288.202
0.000,0.000,0.000,0.000,0.000,0.000,288.026
0.000,0.000,0.000,0.000,0.000,0.000,288.027
0.000,0.000,0.000,0.000,0.000,0.000,288.021
0.000,0.000,0.000,0.000,0.000,0.000,288.254
0.000,0.000,0.000,0.000,0.000,0.000,287.885
0.000,0.000,0.000,0.000,0.000,0.000,288.299
0.000,0.000,0.000,0.000,0.000,0.000,287.882
0.000,0.000,0.000,0.000,0.000,0.000,288.298
0.000,0.000,0.000,0.000,0.000,0.000,287.887
0.000,0.000,0.000,0.000,0.000,0.000,287.833
0.000,0.000,0.000,0.000,0.000,0.000,287.663
0.000,0.000,0.000,0.000,0.000,0.000,287.966
0.000,0.000,0.000,0.000,0.000,0.000,288.155
0.000,0.000,0.000,0.000,0.000,0.000,288.129
0.000,0.000,0.000,0.000,0.000,0.000,287.890
0.000,0.000,0.000,0.000,0.000,0.000,288.274
0.000,0.000,0.000,0.000,0.000,0.000,288.147
0.000,0.000,0.000,0.000,0.000,0.000,287.624
0.000,0.000,0.000,0.000,0.000,0.000,287.865
0.000,0.000,0.000,0.000,0.000,0.000,293.533
0.000,0.000,0.000,0.000,0.000,0.000,288.491
0.000,0.000,0.000,0.000,0.000,0.000,287.994
0.000,0.000,0.000,0.000,0.000,0.000,288.413
0.000,0.000,0.000,0.000,0.000,0.000,288.432
