preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
214.070,10.411,13.712,9.752,165.445,71.839,379.515
224.936,7.902,13.156,10.607,139.318,53.483,364.254
226.185,8.479,13.667,11.679,139.125,70.217,365.310
226.221,8.161,13.300,11.401,139.486,63.419,365.707
225.926,7.938,13.269,10.927,139.702,54.071,365.628
225.893,8.295,13.298,10.999,139.890,60.577,365.783
227.182,8.372,13.499,11.570,140.014,63.734,367.197
226.644,8.285,13.546,11.278,140.105,63.321,366.749
226.334,8.284,13.621,11.535,140.089,63.671,366.423
226.363,8.147,13.534,11.433,140.276,63.408,366.639
226.912,8.365,13.583,11.599,140.173,63.761,367.085
229.913,8.782,13.536,11.121,139.160,60.821,369.073
230.013,8.791,13.499,11.179,138.965,60.770,368.978
230.003,8.863,13.659,11.195,139.143,60.959,369.147
231.305,8.917,13.476,11.208,139.104,61.012,370.408
229.791,9.297,13.199,11.259,139.113,61.148,368.904
230.286,9.404,13.055,11.210,139.180,61.090,369.466
230.273,9.381,13.126,11.218,139.231,61.129,369.504
230.093,9.226,13.101,11.372,139.243,61.446,369.336
230.223,9.318,13.056,11.198,139.194,61.500,369.416
236.821,9.269,13.117,11.264,139.143,61.560,375.964
230.132,9.381,13.104,11.273,139.103,61.451,369.235
230.529,9.197,13.016,11.295,139.375,61.488,369.904
230.180,9.351,13.225,11.178,139.268,61.473,369.448
230.247,9.333,13.101,11.119,139.317,61.612,369.564
230.398,9.279,13.522,11.318,139.117,61.253,369.516
230.362,8.675,13.539,11.244,139.208,60.799,369.570
230.688,8.737,13.639,11.249,139.540,64.309,370.228
230.218,9.056,13.753,10.982,139.726,70.678,369.943
230.798,9.298,13.581,11.133,139.726,69.880,370.524
230.337,9.689,13.298,10.931,139.786,70.224,370.122
230.300,9.768,13.264,10.900,139.845,69.992,370.146
230.417,9.563,13.299,11.105,140.020,70.307,370.386
230.863,9.713,13.253,10.886,139.725,70.455,370.588
230.332,9.801,13.188,11.007,139.878,70.717,370.210
230.352,9.699,13.382,10.973,139.979,70.898,370.331
230.276,9.775,13.097,11.023,140.009,70.584,370.286
231.031,9.392,13.778,11.177,139.864,69.326,370.895
230.521,9.201,13.751,11.115,139.931,69.886,370.453
230.357,9.640,13.205,10.910,139.883,70.530,370.240
230.386,9.546,13.450,10.959,139.934,70.179,370.320
230.906,9.721,13.165,10.820,139.959,69.667,370.865
230.309,9.686,13.186,10.926,139.930,70.114,370.239
230.429,9.648,13.231,11.042,139.957,70.009,370.386
230.529,9.602,13.202,10.942,139.982,69.745,370.511
230.469,9.647,13.213,11.022,140.014,69.845,370.483
230.440,9.810,13.309,11.025,139.862,70.227,370.301
230.937,9.608,13.176,10.899,140.102,68.531,371.039
230.920,9.619,13.097,10.944,139.645,54.117,370.565
230.650,9.578,13.054,11.115,139.481,53.881,370.131
230.610,9.568,12.933,11.228,139.566,54.132,370.176
230.482,9.475,12.982,11.099,139.639,54.339,370.121
230.581,9.598,13.069,11.125,139.601,54.534,370.182
230.450,9.543,13.012,11.081,139.501,54.233,369.951
230.593,9.538,12.975,11.063,139.701,54.332,370.294
230.583,9.365,13.034,11.090,139.572,54.162,370.045
230.338,9.508,13.130,11.141,139.665,54.460,370.003
230.662,9.541,13.017,11.115,139.700,54.218,370.362
230.514,9.816,13.046,11.019,139.576,53.892,370.090
231.031,9.769,13.108,11.174,139.806,55.168,370.837
230.491,9.279,13.253,11.143,139.536,60.998,370.028
230.566,9.242,13.092,11.250,139.636,61.105,370.202
230.529,9.527,13.175,11.231,139.447,61.071,369.976
230.441,9.509,13.125,11.279,139.616,61.582,370.057
230.548,9.403,13.133,11.221,139.645,61.204,370.193
230.847,9.421,13.124,11.197,139.657,60.513,370.504
230.321,9.237,13.047,11.292,139.375,61.709,369.696
230.918,9.388,13.192,11.268,139.745,61.019,370.662
230.691,9.490,13.110,11.352,139.581,61.192,370.272
230.549,9.460,13.225,11.235,139.527,61.150,370.077
230.378,9.384,13.211,11.336,139.583,61.083,369.961
230.800,9.538,13.219,11.303,139.684,60.998,370.484
230.402,9.401,13.064,11.227,139.655,61.290,370.057
230.474,9.375,13.181,11.304,139.591,61.442,370.065
231.112,9.618,13.275,11.336,139.558,61.401,370.670
230.636,9.379,13.183,11.151,139.597,61.205,370.232
230.485,9.479,13.112,11.151,139.671,61.126,370.156
230.805,9.181,13.101,11.256,139.723,60.971,370.529
230.461,9.309,13.126,11.309,139.548,60.842,370.009
230.605,9.248,13.164,11.389,139.681,61.601,370.286
230.408,9.323,13.285,11.287,139.554,61.707,369.962
230.485,9.500,13.332,11.154,139.533,61.639,370.018
230.444,9.228,13.165,11.218,139.572,61.573,370.016
230.458,9.441,13.260,11.255,139.406,62.290,369.864
230.703,9.225,13.496,11.171,139.595,60.957,370.298
230.624,8.962,13.550,11.333,139.632,60.774,370.255
230.264,8.903,13.733,11.313,139.674,61.148,369.937
230.672,8.895,13.692,11.244,139.695,60.921,370.367
230.553,9.055,13.682,11.228,139.650,61.299,370.203
230.392,8.979,13.726,11.216,139.577,61.108,369.969
230.618,8.762,13.682,11.163,139.853,60.911,370.471
230.597,9.019,13.624,11.300,139.882,60.695,370.479
230.598,8.760,13.677,11.110,139.614,60.569,370.212
230.704,8.891,13.534,11.308,139.707,61.246,370.412
230.638,8.913,13.631,11.230,139.686,61.216,370.324
230.572,8.821,13.601,11.340,139.634,61.682,370.207
237.868,8.860,13.613,11.289,139.610,61.181,377.477
230.689,9.033,13.747,11.390,139.524,61.367,370.146
230.790,8.744,13.738,11.360,139.505,60.981,370.295
230.988,8.745,13.625,11.198,139.731,60.572,370.718
230.529,8.896,13.586,11.250,139.546,60.867,370.075
230.782,9.100,13.693,11.121,139.717,60.785,370.498
230.383,8.905,13.646,11.421,139.662,61.689,370.045
230.617,8.830,13.731,11.209,139.710,61.033,370.327
230.746,8.906,13.718,11.200,139.650,60.825,370.396
230.637,8.872,13.682,11.072,139.462,60.756,370.099
230.575,8.818,13.615,11.299,139.687,60.734,370.262
230.635,8.805,13.753,11.103,139.661,60.691,370.296
230.657,8.942,13.792,11.242,139.888,69.641,370.545
230.851,9.259,13.944,10.870,140.050,69.003,370.900
230.769,9.010,13.832,10.875,140.043,69.339,370.812
230.844,9.143,13.815,10.931,139.997,69.499,370.841
230.768,9.110,13.825,10.827,139.978,69.357,370.746
230.817,9.143,13.846,10.967,140.096,69.484,370.913
230.735,9.869,13.393,10.966,140.005,69.743,370.741
231.191,9.610,13.551,10.857,140.138,69.957,371.328
230.795,9.153,13.782,10.975,140.047,69.304,370.842
230.580,9.111,13.927,10.946,139.971,68.715,370.551
230.652,9.350,13.985,11.337,140.024,69.663,370.676
231.007,9.208,13.973,11.021,140.070,69.424,371.077
230.559,9.265,13.662,11.001,139.976,69.514,370.536
230.746,10.057,13.178,10.877,139.950,69.651,370.612
230.700,10.033,13.104,10.908,140.010,69.908,370.710
230.811,9.157,13.859,11.055,140.011,69.373,370.822
230.642,9.829,13.439,10.971,139.891,69.305,370.533
230.710,9.750,13.282,10.844,139.910,69.331,370.620
230.631,9.716,13.239,11.045,139.968,69.675,370.599
230.663,9.875,13.356,10.847,139.989,69.504,370.652
230.590,9.826,13.206,10.917,140.002,69.494,370.592
230.689,9.824,13.295,10.758,139.978,69.388,370.667
230.633,9.954,13.391,10.930,140.004,69.392,370.637
230.581,9.876,13.351,11.032,139.916,69.579,370.497
230.690,9.949,13.308,10.930,139.921,69.565,370.611
230.774,9.829,13.270,10.751,140.005,69.211,370.779
230.793,9.923,13.205,10.777,140.016,69.535,370.809
230.672,9.900,13.421,10.938,139.954,69.259,370.538
230.686,9.854,13.352,10.895,139.904,69.903,370.504
230.911,9.964,13.181,10.937,140.050,69.227,370.961
230.613,9.895,13.432,10.943,139.919,69.964,370.533
230.763,9.747,13.338,10.932,139.970,70.029,370.682
230.701,9.802,13.297,10.895,139.941,69.882,370.642
230.711,9.794,13.267,10.904,139.939,69.489,370.649
231.196,9.720,13.362,11.177,139.776,58.221,370.971
230.996,9.529,13.120,11.066,139.552,53.888,370.549
230.734,9.713,13.155,11.124,139.492,54.045,370.226
230.599,9.339,13.114,10.979,139.500,54.000,370.098
230.838,9.553,13.086,11.051,139.497,53.834,370.335
230.791,9.503,13.244,11.136,139.553,54.233,370.344
230.491,9.555,13.175,11.130,139.460,53.836,369.951
230.727,9.238,13.155,11.120,139.587,54.020,370.314
230.650,9.391,13.139,11.158,139.448,53.694,370.097
230.928,9.410,13.166,11.118,139.594,53.710,370.522
230.774,9.455,13.217,11.176,139.561,54.194,370.335
230.835,9.459,13.138,11.101,139.506,54.022,370.341
230.753,9.438,13.037,11.122,139.485,54.126,370.238
230.596,9.421,13.302,11.188,139.454,54.190,370.050
231.515,9.558,13.218,11.100,139.405,53.996,370.920
230.759,9.625,13.175,11.111,139.525,54.152,370.284
230.656,9.600,13.078,11.154,139.449,54.392,370.039
230.636,9.564,13.157,10.981,139.614,53.863,370.250
230.769,9.352,13.184,11.081,139.436,53.803,370.205
231.081,9.418,13.180,11.069,139.469,54.144,370.549
230.824,9.378,13.186,10.965,139.544,53.505,370.368
230.617,9.333,13.331,10.960,139.439,53.476,369.947
231.018,9.149,13.378,11.074,139.612,53.887,370.630
230.829,9.187,13.527,11.031,139.542,53.725,370.371
230.672,9.186,13.415,11.205,139.503,53.941,370.110
230.684,9.247,13.459,11.196,139.451,54.239,370.136
230.645,9.297,13.387,11.197,139.447,54.023,370.091
230.652,9.025,13.444,11.158,139.486,53.642,370.138
230.801,9.136,13.324,11.132,139.606,53.926,370.407
230.753,9.100,13.409,11.126,139.585,53.424,370.272
230.883,9.152,13.345,11.099,139.417,53.362,370.301
230.693,9.256,13.335,11.055,139.491,53.499,370.184
230.762,9.009,13.532,11.078,139.407,53.452,370.169
230.626,9.045,13.366,11.039,139.430,53.683,370.056
231.106,9.108,13.405,10.906,139.367,53.221,370.473
230.988,9.043,13.442,11.158,139.427,53.660,370.415
