preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
209.501,10.129,11.861,11.417,135.901,68.540,345.402
210.034,10.097,11.741,11.137,137.243,67.603,347.277
212.771,10.052,11.570,11.448,137.306,69.035,350.077
212.952,9.796,11.482,12.037,137.117,71.449,350.068
213.477,10.151,11.706,12.077,137.219,71.077,350.648
213.876,10.140,11.697,12.005,137.630,71.076,351.506
213.981,9.806,11.533,11.968,137.798,70.986,351.779
214.154,10.036,11.548,11.585,137.743,71.146,351.897
214.499,10.142,11.742,11.662,137.737,69.627,352.235
213.822,10.227,11.808,11.582,137.855,70.011,351.677
213.915,9.912,11.599,11.740,137.998,70.592,351.913
214.136,9.961,11.622,11.625,137.996,69.578,352.132
214.121,9.890,11.587,11.687,137.996,69.099,352.117
214.175,9.889,11.585,11.652,138.067,69.800,352.242
214.750,10.188,11.719,11.683,138.126,69.657,352.877
214.406,9.918,11.590,11.616,138.216,70.087,352.622
214.865,10.165,11.802,11.686,138.047,70.209,352.913
214.161,10.314,11.857,11.647,138.200,69.742,352.361
213.785,9.996,11.579,11.498,138.535,67.933,352.321
213.076,9.967,11.454,11.026,139.005,64.061,352.081
213.126,9.855,11.428,10.975,139.088,62.944,352.214
213.000,9.897,11.500,11.045,139.138,62.503,352.138
219.648,10.016,11.511,11.260,138.978,65.912,358.547
214.906,9.887,11.677,11.865,138.385,70.145,353.291
214.776,10.153,11.779,11.677,138.402,68.932,353.177
214.810,10.129,11.716,11.794,138.372,70.449,353.182
214.991,9.775,11.582,11.997,138.342,70.015,353.256
215.135,9.859,11.549,11.945,138.885,71.115,354.020
215.010,10.164,11.793,11.953,138.381,71.742,353.391
215.030,10.097,11.762,12.063,138.389,69.867,353.419
215.118,10.083,11.805,11.925,138.518,70.704,353.636
215.154,9.818,11.532,11.855,138.513,70.208,353.666
215.210,10.108,11.900,12.125,138.868,69.478,354.078
215.297,10.095,11.734,11.577,138.722,69.675,354.018
215.077,9.955,11.567,11.770,138.490,69.577,353.567
215.094,10.019,11.557,11.584,138.547,70.653,353.641
215.335,10.079,11.682,11.639,138.412,69.139,353.746
214.660,10.184,11.795,11.696,138.516,69.817,353.176
214.877,9.882,11.622,11.735,138.566,69.638,353.394
214.819,9.922,11.566,11.743,138.510,69.458,353.279
214.953,10.076,11.773,12.065,139.688,69.863,354.641
214.897,9.837,11.628,11.987,138.571,70.512,353.468
215.017,9.733,11.564,12.044,138.519,70.107,353.536
215.070,9.889,11.616,12.123,138.648,71.471,353.717
215.006,10.163,11.725,11.921,138.575,69.880,353.582
214.957,10.138,11.711,12.058,138.441,70.310,353.398
214.984,9.861,11.789,11.956,138.578,68.795,353.561
215.086,9.806,11.572,12.006,138.590,71.361,353.676
215.562,9.985,11.690,12.065,138.758,69.350,354.320
215.224,9.854,11.550,12.049,138.604,69.049,353.828
214.941,9.670,11.510,11.971,138.548,69.610,353.488
215.163,9.934,11.660,11.935,138.571,70.972,353.735
215.220,10.088,11.911,12.110,138.562,69.874,353.782
215.424,10.163,11.827,12.023,138.554,69.941,353.977
215.517,9.782,11.669,12.104,138.523,70.041,354.039
215.334,9.887,11.623,12.097,138.612,70.541,353.946
215.317,9.894,11.779,11.852,138.656,69.591,353.972
215.312,9.782,11.728,11.867,138.562,69.091,353.874
215.367,9.769,11.566,11.998,138.635,69.385,354.002
215.813,9.739,11.588,11.938,139.080,70.450,354.894
215.524,9.917,11.696,12.171,138.508,69.784,354.032
215.420,10.021,11.822,12.195,138.614,71.073,354.034
215.336,9.929,11.743,12.279,138.594,70.904,353.929
215.386,9.561,11.510,12.208,138.644,69.126,354.030
215.474,9.851,11.647,12.278,138.640,69.786,354.114
215.367,9.897,11.864,12.023,138.603,69.893,353.970
215.377,9.881,11.727,11.721,138.600,69.544,353.977
215.155,9.915,11.705,11.815,138.656,69.948,353.811
215.349,10.096,11.881,11.691,138.536,69.033,353.885
215.129,10.053,11.696,11.829,138.624,68.137,353.753
