preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
303.823,12.256,19.750,29.890,198.396,157.585,502.119
303.783,10.240,18.215,26.546,195.017,142.217,498.800
303.303,10.769,18.250,27.165,194.384,147.632,497.688
305.947,9.572,18.137,25.959,193.843,138.081,499.790
306.797,9.846,18.237,26.280,192.937,138.874,499.734
305.660,12.389,18.608,29.797,194.477,155.804,500.137
306.659,9.837,18.051,26.851,193.173,134.374,499.832
306.499,9.898,17.968,27.987,192.903,145.706,499.402
305.780,9.838,17.780,25.858,192.976,138.485,498.756
307.336,10.047,17.460,25.459,192.635,137.556,499.971
307.104,9.752,17.405,25.597,192.106,136.792,499.210
307.384,9.493,17.811,23.741,192.259,129.200,499.643
306.709,10.611,18.297,27.605,193.197,141.665,499.905
306.943,9.952,18.203,26.909,192.838,138.280,499.782
306.717,10.140,18.247,25.716,192.563,137.645,499.280
307.152,10.416,19.423,27.612,192.486,142.483,499.638
307.196,10.393,18.088,26.444,192.358,138.818,499.554
307.075,9.577,17.651,24.930,192.658,134.362,499.733
275.353,22.927,28.948,48.762,199.494,264.439,474.847
304.973,9.620,17.915,24.025,193.130,129.531,498.104
304.673,9.630,17.277,22.685,193.538,129.481,498.211
304.616,9.984,18.186,23.639,193.217,130.146,497.833
305.346,9.552,17.019,22.872,193.249,129.981,498.594
314.431,12.644,20.277,29.551,194.168,165.026,508.599
305.310,9.916,17.361,24.579,193.206,129.996,498.515
304.855,9.368,17.972,23.027,193.300,127.839,498.154
307.717,9.825,17.445,24.842,193.345,131.609,501.061
308.787,10.073,17.659,26.247,192.726,138.560,501.513
309.090,9.386,17.226,24.662,192.830,132.720,501.920
305.640,13.281,19.543,29.597,193.748,175.105,499.387
309.462,9.600,17.529,23.900,192.636,129.886,502.098
309.500,9.648,17.091,23.319,192.566,129.097,502.066
309.521,9.402,16.924,23.685,192.804,128.964,502.325
308.150,10.337,18.671,25.361,192.700,141.527,500.850
309.365,10.169,17.354,25.010,192.929,134.595,502.293
309.240,10.217,17.833,24.802,192.787,134.571,502.027
309.317,10.126,18.067,24.711,192.692,133.905,502.009
308.822,9.482,17.154,25.799,192.669,135.246,501.491
317.081,9.564,17.928,24.523,192.926,129.331,510.007
309.533,9.700,17.172,23.573,192.744,130.873,502.277
308.889,10.297,17.642,22.708,192.664,133.259,501.553
309.274,9.633,17.177,23.857,192.788,132.043,502.062
309.268,9.374,18.290,25.348,192.886,133.519,502.155
309.068,9.769,17.295,25.296,192.409,134.115,501.477
309.055,9.615,17.181,25.088,192.983,135.271,502.038
309.267,10.228,18.420,26.360,192.795,137.066,502.062
309.122,9.582,17.300,23.333,192.866,132.632,501.988
309.135,9.675,16.988,24.160,192.492,129.930,501.627
317.545,9.429,17.673,25.279,192.630,133.944,510.176
309.854,9.464,17.375,23.621,192.656,126.239,502.510
309.322,9.648,17.246,24.923,192.859,133.200,502.181
309.040,10.129,17.623,26.029,192.788,136.636,501.828
309.710,9.552,17.829,23.410,192.642,128.223,502.352
308.693,10.285,17.140,23.937,193.167,133.110,501.860
309.364,9.840,17.364,23.736,192.731,131.944,502.096
318.105,9.579,18.080,24.612,193.047,130.001,511.050
309.618,9.628,17.305,24.282,192.579,130.983,502.197
309.701,9.405,17.133,23.077,192.562,127.632,502.263
308.990,9.910,17.573,23.091,192.931,131.422,501.921
308.768,9.510,17.730,25.604,192.676,134.199,501.286
309.989,9.198,17.241,22.704,192.640,129.140,502.630
309.544,9.462,17.544,23.568,192.593,130.631,502.137
309.311,10.259,17.595,23.572,193.461,133.206,502.773
309.170,9.736,17.415,23.741,192.483,131.429,501.652
309.190,10.161,17.139,25.337,192.784,133.441,501.974
309.576,9.284,17.257,24.569,192.745,132.152,502.322
309.722,9.510,17.367,23.860,192.655,128.679,502.228
309.557,10.253,17.388,24.679,192.741,131.206,502.297
317.155,9.384,17.135,23.460,192.961,128.155,510.019
309.633,10.080,16.988,23.382,192.602,131.610,502.235
309.730,9.314,17.421,23.152,192.687,129.177,502.417
300.167,19.067,24.545,35.818,194.949,211.273,495.116
309.623,9.477,17.277,22.913,192.721,127.472,502.344
309.756,9.510,17.211,23.367,192.598,130.930,502.353
309.390,9.595,17.365,25.369,192.819,134.909,502.071
309.826,9.684,16.943,24.426,192.779,130.534,502.605
309.744,9.397,17.237,24.225,192.857,130.452,502.507
309.427,9.746,17.329,24.427,192.729,134.185,502.156
309.606,9.935,17.362,23.573,192.674,131.633,502.280
309.646,9.628,17.255,23.659,192.658,130.564,502.304
310.403,11.862,19.137,28.414,193.807,146.266,504.211
310.187,9.614,17.116,23.952,192.562,128.980,502.749
309.480,9.262,17.444,23.224,192.756,130.842,502.237
309.631,9.596,17.578,23.592,192.702,132.487,502.333
309.894,10.019,17.278,23.978,192.842,131.872,502.736
309.851,9.263,16.845,22.916,192.443,125.696,502.294
308.665,9.874,16.908,25.151,193.644,134.626,502.309
301.714,14.140,20.998,33.511,194.591,185.265,496.305
308.912,9.642,17.606,23.878,192.634,132.528,501.546
309.651,9.438,16.827,22.753,192.632,129.518,502.283
309.223,9.621,17.859,25.071,192.724,135.292,501.947
309.357,9.489,17.032,22.316,193.000,128.588,502.357
309.288,9.617,16.965,22.612,192.732,129.210,502.020
309.071,9.426,17.197,23.174,192.544,128.782,501.615
310.514,11.847,18.557,26.467,193.546,142.326,504.059
302.400,15.551,21.878,35.381,194.968,184.577,497.367
308.803,9.529,17.744,25.593,192.707,134.591,501.510
309.562,9.859,18.178,26.009,192.901,133.333,502.463
309.168,9.780,17.246,23.697,192.721,131.119,501.889
308.955,10.202,18.450,26.593,193.273,139.210,502.228
308.688,10.289,18.146,24.286,192.836,136.336,501.524
309.000,10.406,17.532,26.878,192.999,145.079,501.999
309.087,9.717,17.297,24.998,192.625,134.333,501.712
309.365,9.699,17.599,23.331,192.789,130.217,502.154
309.804,9.745,18.090,22.620,192.559,132.271,502.363
309.600,9.473,17.182,22.883,192.701,127.995,502.302
309.564,9.763,17.697,24.944,192.760,131.624,502.324
308.086,9.874,18.722,24.150,193.480,134.973,501.566
309.620,9.860,17.366,22.943,192.669,133.841,502.289
309.445,9.758,17.294,25.041,192.837,133.424,502.282
309.617,10.044,18.059,23.989,192.786,130.567,502.404
309.318,9.797,17.473,22.981,192.735,129.326,502.053
309.525,9.558,17.162,25.250,192.852,132.300,502.376
309.173,10.032,17.654,24.292,192.921,133.766,502.094
309.435,9.502,17.472,23.831,192.672,131.282,502.107
309.674,9.998,17.901,23.972,192.727,132.647,502.401
309.979,9.570,17.390,22.736,192.657,129.223,502.636
309.441,9.628,17.553,24.574,192.804,131.181,502.245
309.187,10.141,17.589,24.913,192.771,134.217,501.957
309.642,10.022,17.285,23.234,192.637,132.339,502.280
309.593,9.786,17.362,23.995,192.725,127.343,502.319
310.099,9.774,17.263,22.986,192.777,128.899,502.876
306.680,12.601,20.708,27.193,193.128,154.971,499.807
309.628,9.859,17.466,22.861,192.724,129.621,502.352
309.438,9.882,17.453,24.148,192.924,130.391,502.362
309.730,9.396,17.293,23.763,192.622,128.597,502.352
