preprocess_latency(us),HtoD_latency(us),kernel_latency(us),DtoH_latency(us),postprocess_latency(us),gpu_overhead(us),cpu_overhead
274.741,9.187,6.950,13.452,181.868,79.078,456.609
272.881,8.766,6.769,13.556,181.830,77.092,454.711
273.221,8.908,6.788,13.406,182.059,77.761,455.280
273.756,8.798,6.716,13.255,182.083,77.421,455.839
274.241,8.756,6.704,13.490,181.954,76.892,456.113
274.256,8.884,6.654,13.294,182.265,76.982,456.521
273.938,8.949,6.810,13.455,182.155,77.210,456.093
273.217,9.050,6.776,13.366,182.104,78.788,455.237
274.216,9.011,6.793,13.315,182.023,78.301,456.239
273.690,8.723,6.680,13.599,182.045,76.722,455.735
274.289,8.973,6.889,13.391,182.130,78.051,456.419
274.247,9.197,6.945,13.366,182.181,78.923,456.428
274.327,9.011,6.761,13.176,181.994,78.303,456.320
274.782,8.939,6.673,13.398,182.086,77.948,456.868
275.871,9.063,6.768,13.592,182.179,78.246,458.050
275.296,9.091,6.852,13.383,181.916,79.549,457.212
274.729,8.975,6.636,13.430,182.141,78.594,456.870
274.298,8.887,6.636,13.406,181.973,77.467,456.271
274.277,9.072,6.913,13.504,182.344,78.388,456.621
274.411,9.005,6.835,13.431,182.062,77.994,456.473
274.856,8.987,6.729,13.301,182.045,78.348,456.901
273.458,8.915,6.663,13.404,182.165,77.535,455.623
274.820,8.976,6.851,13.304,182.595,76.885,457.415
274.424,9.005,6.972,13.584,182.271,78.281,456.695
274.773,8.879,6.620,13.351,181.959,78.080,456.732
274.433,8.875,6.667,13.354,182.107,77.515,456.274
274.975,9.080,6.923,13.351,182.110,77.986,457.085
273.837,8.934,6.857,13.352,182.002,77.486,455.839
273.447,8.935,6.749,13.423,182.845,77.468,456.293
274.216,8.970,6.802,13.519,182.090,78.427,456.306
274.447,8.913,7.023,13.281,182.343,76.530,456.790
275.342,8.937,6.983,13.398,182.061,77.173,457.320
276.455,8.960,6.716,13.344,182.003,78.152,458.458
277.462,8.866,6.779,13.318,182.227,76.478,459.689
277.213,9.087,6.829,13.290,182.112,76.832,459.325
275.738,9.093,6.874,13.335,181.995,78.067,457.733
275.409,9.090,6.664,13.186,182.141,77.846,457.550
289.710,9.014,6.675,13.330,182.139,76.264,471.849
277.302,9.237,6.987,13.325,182.211,77.181,459.431
276.402,8.967,6.844,13.136,182.181,77.142,458.583
276.466,9.060,6.871,13.284,182.161,77.732,458.627
275.746,8.943,6.914,13.506,181.977,77.011,457.723
276.323,9.028,6.962,13.444,182.048,76.921,458.371
275.939,9.045,6.980,13.555,181.985,77.433,457.923
276.104,9.069,6.928,13.546,182.090,77.535,458.110
275.522,9.103,6.679,13.342,181.994,78.068,457.516
276.137,8.865,6.747,13.531,181.997,76.422,458.134
276.254,8.938,6.680,13.408,182.058,76.668,458.313
276.440,8.994,6.728,13.319,182.071,77.193,458.511
285.141,9.098,6.539,13.429,182.071,74.762,467.212
275.299,9.179,6.501,13.431,182.179,70.997,457.477
275.404,9.126,6.567,13.399,181.971,70.320,457.375
275.762,8.893,6.279,13.425,182.034,69.943,457.797
274.922,8.981,6.297,13.414,181.971,70.720,456.894
274.879,9.189,6.840,13.473,182.077,71.485,456.956
275.299,9.229,6.804,13.352,181.996,70.753,457.294
275.347,9.009,6.413,13.346,181.990,70.851,457.337
275.337,8.955,6.292,13.541,182.009,70.280,457.347
274.945,9.104,6.529,13.590,181.930,71.564,456.875
274.718,9.098,6.617,13.333,182.001,70.436,456.719
275.877,9.093,6.999,13.442,182.106,76.194,457.983
275.720,9.082,6.842,13.475,182.083,77.279,457.803
275.535,9.065,6.907,13.314,181.980,77.213,457.515
276.025,9.184,7.009,13.363,182.113,77.520,458.138
275.825,9.124,6.817,13.489,182.173,78.211,457.998
275.552,9.017,6.692,13.276,182.600,77.089,458.152
276.093,9.036,6.882,13.485,182.103,76.999,458.196
276.111,9.079,6.932,13.253,181.980,77.555,458.090
276.631,9.079,6.981,13.492,182.052,77.551,458.683
275.467,9.139,6.990,13.309,182.027,77.840,457.493
276.870,9.085,6.842,13.353,181.927,77.509,458.798
276.687,8.910,6.899,13.273,182.077,75.665,458.763
276.208,8.993,6.821,13.411,182.073,77.142,458.281
274.977,8.931,6.767,13.428,181.975,76.829,456.952
276.465,9.044,6.876,13.288,182.187,76.983,458.652
275.093,9.080,6.875,13.594,182.093,78.116,457.187
274.487,9.042,6.949,13.296,182.036,77.633,456.523
274.977,8.879,6.730,13.329,182.044,77.904,457.022
274.940,9.016,6.926,13.354,182.051,77.563,456.991
275.305,8.961,6.947,13.609,182.071,77.678,457.375
275.136,8.891,6.695,13.416,182.090,78.177,457.227
275.390,8.891,6.713,13.602,182.150,78.430,457.540
282.952,9.039,6.830,13.436,182.312,78.619,465.264
181.525,12.164,8.853,17.282,182.762,109.438,364.287
181.449,12.696,9.170,16.247,182.825,109.734,364.274
181.437,12.054,9.266,17.295,182.827,104.871,364.264
181.281,12.082,8.780,16.217,182.704,106.345,363.986
181.385,12.015,8.802,17.391,182.870,108.423,364.255
181.318,12.483,9.694,16.877,182.683,106.858,364.001
181.396,12.982,9.118,16.555,182.807,107.967,364.203
181.391,11.777,9.009,17.238,182.774,108.752,364.166
181.424,12.183,9.342,17.534,182.694,111.154,364.118
181.315,12.553,9.691,17.740,182.760,107.301,364.075
181.358,12.499,9.367,16.169,182.712,105.795,364.070
181.361,12.088,9.360,17.654,182.816,109.168,364.177
181.251,11.892,9.018,17.009,182.715,108.574,363.966
181.273,12.471,9.277,17.155,182.851,109.039,364.060
181.332,11.798,9.771,15.669,182.809,104.586,364.141
181.280,12.014,9.962,16.211,182.796,105.510,364.075
181.552,12.878,8.981,16.338,183.672,109.494,365.157
181.395,12.074,8.933,17.082,182.863,109.333,364.258
181.396,12.752,8.950,15.569,182.819,108.326,364.216
181.277,12.583,8.976,16.398,182.704,106.397,363.982
181.333,12.580,9.908,16.610,182.839,103.491,364.172
181.342,12.416,9.009,16.702,182.906,105.774,364.248
181.375,11.552,9.479,16.931,182.818,107.637,364.193
181.412,11.594,9.586,17.008,183.008,104.231,364.420
181.297,11.732,9.379,16.915,182.841,105.537,364.138
181.414,12.014,9.463,16.117,182.823,103.195,364.237
181.257,12.947,8.858,17.022,182.864,106.642,364.122
181.233,12.587,9.328,16.289,182.814,103.316,364.046
181.359,12.892,9.843,17.163,182.726,104.250,364.018
181.290,12.178,9.216,15.697,182.735,105.263,364.024
181.334,12.297,8.647,16.642,182.837,106.506,364.172
181.237,12.665,9.455,17.745,182.748,108.741,363.985
181.303,12.172,9.149,16.654,182.680,106.200,363.983
181.162,12.334,9.231,16.264,182.742,108.844,363.904
181.085,12.431,9.761,17.353,182.755,105.533,363.840
181.182,12.843,9.018,17.043,182.767,109.960,363.949
181.219,12.161,8.716,16.891,182.601,107.962,363.755
181.325,12.560,9.394,17.909,182.785,108.682,364.110
181.314,11.987,8.980,16.159,182.735,105.164,363.984
181.093,12.769,9.487,16.439,182.730,109.112,363.823
180.985,12.306,9.390,17.587,182.610,110.456,363.594
181.116,12.741,8.704,17.026,182.648,109.206,363.763
181.004,12.004,9.233,16.457,182.704,105.517,363.708
181.135,12.719,9.648,16.011,182.747,104.041,363.881
181.179,12.024,9.123,16.926,182.638,106.249,363.818
180.999,12.748,9.201,17.316,182.580,106.602,363.579
181.125,12.706,8.906,16.514,182.859,106.624,363.984
180.959,12.302,8.866,16.129,182.617,105.429,363.576
181.243,12.399,8.993,17.773,183.186,109.641,364.430
181.079,12.211,9.083,17.397,182.692,108.940,363.771
181.157,11.965,8.927,17.024,182.727,104.890,363.884
181.009,12.382,8.896,18.282,182.672,109.044,363.681
181.113,11.972,8.836,17.680,182.682,109.263,363.794
180.995,11.912,9.830,16.244,182.700,105.773,363.695
181.158,12.504,9.011,16.904,182.773,106.537,363.931
181.092,12.373,9.049,17.182,182.695,106.381,363.787
180.965,12.615,9.142,17.303,182.709,107.217,363.674
181.002,12.843,8.871,17.486,182.735,108.824,363.736
180.926,12.688,8.990,17.617,182.650,109.075,363.576
181.076,12.503,9.102,17.376,182.705,108.597,363.781
180.988,12.633,9.100,16.118,182.757,106.266,363.745
181.150,12.655,8.574,16.861,182.797,109.210,363.946
180.918,12.879,9.295,16.931,182.580,105.344,363.498
181.097,12.492,9.021,18.292,182.726,111.139,363.823
181.069,12.187,8.788,17.624,182.630,108.564,363.699
181.084,12.059,9.215,17.565,182.715,108.770,363.799
181.071,12.732,8.815,16.894,182.710,107.941,363.782
181.188,12.812,8.865,17.760,182.656,105.644,363.844
181.077,12.030,9.335,18.154,182.630,108.665,363.706
180.966,12.574,8.662,17.778,182.650,107.657,363.615
181.034,12.520,8.885,16.386,182.668,105.364,363.702
181.025,12.257,9.082,17.630,182.653,107.896,363.678
181.100,12.729,9.476,18.994,182.668,109.028,363.768
180.960,12.455,9.157,16.737,182.740,109.028,363.699
181.055,12.611,9.209,17.193,182.583,107.457,363.638
181.010,12.389,9.560,17.456,182.777,109.793,363.787
181.013,11.920,9.521,17.068,182.690,104.716,363.703
180.952,13.178,8.739,16.375,182.667,107.814,363.619
181.021,12.701,9.144,16.602,182.655,105.235,363.676
181.087,12.594,9.338,16.966,182.740,105.248,363.827
181.099,12.570,8.564,17.700,182.510,107.411,363.609
181.253,12.676,9.733,16.708,183.185,102.162,364.438
181.128,12.456,9.606,15.825,182.722,103.756,363.784
181.117,12.904,8.451,17.194,182.616,110.485,363.733
181.020,12.835,9.832,15.795,182.747,105.158,363.767
181.089,11.916,9.150,16.524,182.460,107.721,363.549
181.105,12.373,9.720,16.264,182.649,103.649,363.753
181.202,12.280,9.666,16.686,182.825,104.065,364.027
180.898,11.256,8.579,16.966,182.503,106.885,363.400
181.104,11.665,9.412,16.529,182.667,105.385,363.772
181.056,12.339,9.076,16.967,182.711,105.150,363.767
181.253,12.581,9.522,16.691,182.668,105.475,363.921
181.276,12.348,9.368,16.954,182.612,107.634,363.824
181.016,12.159,8.411,17.432,182.746,110.208,363.761
180.982,12.597,9.591,16.074,182.624,104.685,363.607
180.961,11.714,9.231,16.863,182.755,106.511,363.716
181.078,11.987,9.131,16.394,182.656,105.874,363.734
181.009,12.785,8.707,15.968,182.662,108.846,363.671
180.966,12.068,9.001,17.695,182.618,104.952,363.584
181.005,12.637,9.279,16.952,182.705,110.867,363.710
181.066,12.508,9.397,16.218,182.600,107.015,363.666
181.026,12.367,9.116,16.492,182.689,107.376,363.715
181.007,12.984,9.326,16.257,182.648,102.938,363.588
181.036,12.292,9.297,17.036,182.633,103.997,363.669
181.044,12.246,8.551,17.842,182.792,110.300,363.770
187.317,11.925,9.075,16.178,182.554,103.676,369.872
274.787,9.110,6.455,13.439,181.979,70.989,456.765
274.601,9.121,6.642,13.417,182.100,70.006,456.701
274.899,9.143,6.584,13.279,182.018,69.632,456.918
274.956,9.092,6.422,13.483,181.929,71.304,456.885
274.455,9.131,6.386,13.358,182.033,71.011,456.488
274.640,9.153,6.671,13.233,181.940,70.449,456.579
274.975,9.152,6.588,13.481,182.094,70.398,457.069
274.108,9.043,6.433,13.303,182.912,70.361,457.019
274.751,8.944,6.257,13.405,181.972,69.882,456.723
275.280,9.036,6.498,13.247,182.070,69.500,457.349
274.438,9.196,6.643,13.303,181.802,71.161,456.240
275.153,9.112,6.342,13.379,181.873,70.730,457.026
274.611,9.093,6.351,13.343,181.861,70.590,456.473
274.431,9.099,6.565,13.328,181.841,70.115,456.272
275.359,9.154,6.679,13.311,181.976,69.723,457.336
274.479,9.205,6.830,13.348,181.920,70.994,456.399
274.587,9.052,6.387,13.240,181.896,70.044,456.483
274.350,9.187,6.618,13.362,181.909,70.165,456.259
274.800,9.074,6.640,13.355,181.952,69.391,456.752
275.673,8.999,6.320,13.403,182.108,70.356,457.781
275.123,9.063,6.257,13.605,182.089,70.710,457.213
275.466,9.123,6.562,13.333,182.012,69.911,457.478
275.696,9.113,6.525,13.204,182.094,69.104,457.789
275.273,9.149,6.435,13.477,182.082,70.849,457.354
275.152,9.081,6.357,13.320,181.972,70.033,457.124
275.498,9.058,6.558,13.224,182.058,69.099,457.556
274.293,9.194,6.496,13.365,182.936,70.084,457.230
275.788,9.089,6.363,13.255,182.243,69.533,458.031
275.491,9.041,6.367,13.093,182.025,70.524,457.516
275.701,9.071,6.566,13.344,182.088,69.907,457.790
276.952,9.025,6.672,13.421,182.444,69.630,459.312
275.157,9.127,6.658,13.504,181.989,71.001,457.146
275.587,9.063,6.419,13.410,182.119,70.617,457.706
274.902,9.220,6.660,13.250,182.029,70.572,456.931
275.170,9.146,6.712,13.439,182.116,70.578,457.286
275.327,9.029,6.370,13.359,182.039,70.369,457.366
275.570,8.966,6.362,13.323,181.977,70.305,457.548
275.648,9.075,6.399,13.313,182.042,70.823,457.690
275.155,8.997,6.326,13.427,182.150,70.560,457.305
275.550,9.031,6.419,13.347,182.027,70.437,457.577
275.070,9.112,6.418,13.371,182.234,71.199,457.304
275.706,9.090,6.588,13.126,182.069,69.732,457.775
275.350,9.172,6.721,13.519,182.035,70.613,457.385
275.837,9.052,6.527,13.402,182.190,70.938,458.027
275.037,9.104,6.399,13.155,182.077,71.533,457.114
274.922,9.094,6.652,13.215,182.031,69.841,456.954
275.667,9.060,6.705,13.365,182.145,70.165,457.812
274.841,9.141,6.656,13.506,182.068,70.563,456.909
274.968,8.964,6.432,13.250,181.995,68.916,456.964
275.115,9.032,6.605,13.597,182.180,68.754,457.295
275.343,9.099,6.562,13.488,182.096,70.714,457.439
275.693,9.047,6.425,13.425,182.074,70.144,457.767
275.778,9.024,6.367,13.493,181.936,71.224,457.714
275.505,9.147,6.642,13.235,182.263,70.540,457.768
275.654,9.171,6.666,13.327,182.109,71.164,457.763
275.511,9.004,6.316,13.494,182.056,70.560,457.567
275.457,9.048,6.390,13.416,182.030,71.590,457.487
276.086,9.044,6.608,13.528,182.242,70.142,458.328
275.769,9.098,6.605,13.359,181.985,70.810,457.753
275.936,9.042,6.402,13.427,181.990,70.705,457.927
275.749,9.004,6.258,13.342,181.987,70.540,457.736
275.963,9.092,6.632,13.403,181.958,69.942,457.921
275.685,9.081,6.586,13.301,182.112,69.558,457.797
276.386,9.106,6.585,13.348,182.248,69.924,458.634
275.699,8.978,6.290,13.483,182.135,70.665,457.751
275.724,8.994,6.494,13.437,182.007,70.714,457.731
275.796,9.148,6.693,13.301,182.013,70.793,457.809
275.566,9.080,6.460,13.463,182.166,70.723,457.732
275.675,9.003,6.331,13.554,182.132,70.931,457.807
275.760,9.150,6.684,13.383,182.077,71.521,457.837
275.454,9.146,6.643,13.531,181.860,70.674,457.314
275.609,8.962,6.371,13.312,182.075,70.248,457.684
275.330,9.025,6.364,13.290,182.155,71.040,457.485
275.553,9.142,6.511,13.458,182.100,71.107,457.653
275.885,9.098,6.717,13.490,182.061,70.631,457.946
275.501,9.034,6.422,13.440,182.077,71.275,457.578
275.111,8.954,6.372,13.490,182.072,71.089,457.183
275.743,9.129,6.651,13.482,182.015,70.809,457.758
275.567,9.196,6.736,13.473,182.626,70.268,458.193
275.806,9.118,6.500,13.453,181.949,71.105,457.755
276.053,9.065,6.463,13.370,182.154,70.686,458.207
275.749,9.112,6.635,13.452,182.077,70.786,457.826
275.505,9.165,6.585,13.451,182.076,70.552,457.581
275.967,9.034,6.376,13.560,181.968,70.276,457.936
275.151,8.953,6.305,13.393,182.181,71.322,457.332
274.839,9.041,6.563,13.403,181.931,71.268,456.770
274.487,9.101,6.584,13.350,181.981,71.450,456.469
274.278,9.054,6.420,13.538,182.097,72.022,456.375
275.796,8.982,6.403,13.552,182.194,71.825,457.990
274.512,8.971,6.515,13.537,182.083,71.625,456.595
275.035,9.145,6.636,13.644,181.965,71.980,456.999
275.787,8.972,6.321,13.297,181.988,69.821,457.775
275.920,8.992,6.419,13.370,182.151,70.045,458.071
276.072,9.115,6.710,13.442,182.041,70.479,458.113
275.500,9.039,6.505,13.400,182.008,70.533,457.508
275.633,9.269,6.632,13.372,182.027,71.981,457.660
274.834,9.213,6.262,13.299,182.015,71.107,456.849
275.964,9.114,6.262,13.287,182.181,71.119,458.145
275.415,9.099,6.274,13.474,182.004,70.314,457.420
275.662,9.132,6.379,13.640,182.171,70.738,457.832
