rx,tx
16.860,2.102
18.230,2.181
18.204,2.164
18.249,2.126
17.060,2.172
16.890,2.203
16.829,2.219
16.836,2.238
17.979,2.238
18.272,2.194
17.032,2.243
16.835,2.215
17.982,2.219
18.222,2.163
18.215,2.150
18.262,2.206
18.249,2.148
18.264,2.168
17.073,2.232
16.845,2.195
16.853,2.206
16.880,2.128
16.857,2.183
16.837,2.246
16.839,2.235
16.859,2.214
16.821,2.263
16.823,2.249
16.860,2.162
16.854,2.201
16.841,2.265
17.897,2.184
16.863,2.245
17.093,2.124
16.856,2.200
16.833,2.296
16.895,2.258
17.732,2.194
18.227,2.190
18.240,2.199
18.266,2.157
18.293,2.135
18.241,2.109
18.239,2.187
18.228,2.225
18.260,2.133
18.223,2.213
18.270,2.177
18.247,2.158
18.247,2.132
18.225,2.190
18.252,2.183
18.295,2.146
18.237,2.166
18.229,2.148
17.403,2.184
16.907,2.169
16.892,2.221
16.875,2.250
16.860,2.225
16.885,2.203
16.860,2.217
16.842,2.223
16.891,2.243
16.864,2.209
16.866,2.199
16.854,2.270
16.838,2.272
16.861,2.223
16.863,2.239
16.877,2.217
16.883,2.205
16.871,2.268
16.881,2.184
16.859,2.293
16.835,2.244
16.829,2.243
16.883,2.182
16.892,2.225
16.886,2.303
16.841,2.245
16.857,2.197
16.877,2.213
16.878,2.206
16.840,2.265
16.872,2.221
16.836,2.252
16.839,2.210
16.873,2.194
16.880,2.198
16.883,2.177
16.853,2.275
16.864,2.208
16.881,2.210
16.902,2.254
16.871,2.206
16.869,2.201
16.839,2.250
16.855,2.143
16.890,2.194
16.874,2.192
16.886,2.236
16.876,2.224
16.912,2.243
16.859,2.210
16.879,2.220
16.858,2.243
16.882,2.223
16.886,2.189
16.905,2.157
16.880,2.204
16.851,2.270
16.871,2.202
16.862,2.216
16.879,2.202
16.835,2.256
16.857,2.248
16.889,2.208
16.876,2.205
16.863,2.259
16.814,2.270
16.869,2.207
16.856,2.287
16.853,2.243
17.364,2.193
17.490,2.197
16.832,2.275
16.883,2.262
16.873,2.236
16.892,2.221
16.853,2.239
16.854,2.311
16.854,2.213
16.871,2.270
16.864,2.219
16.886,2.256
16.858,2.265
16.863,2.201
16.875,2.197
16.822,2.263
16.857,2.221
16.862,2.219
16.866,2.241
16.854,2.246
16.894,2.213
16.897,2.205
16.851,2.256
16.833,2.276
16.924,2.157
16.863,2.214
16.830,2.235
16.879,2.200
16.885,2.232
16.854,2.278
16.881,2.223
18.213,2.212
18.279,2.163
18.270,2.119
18.207,2.261
18.223,2.183
17.596,2.188
16.844,2.215
16.852,2.245
16.885,2.222
16.848,2.278
16.889,2.174
16.864,2.308
16.817,2.286
16.853,2.218
16.870,2.232
16.820,2.185
16.865,2.263
16.873,2.227
16.871,2.214
16.910,2.205
16.854,2.247
16.875,2.221
16.884,2.179
16.842,2.236
16.827,2.320
16.860,2.275
16.834,2.289
16.859,2.216
16.869,2.254
16.874,2.209
16.841,2.270
16.862,2.214
16.916,2.378
16.877,2.252
16.856,2.241
16.861,2.247
16.863,2.216
16.862,2.278
16.828,2.298
16.872,2.279
16.860,2.276
16.868,2.230
16.867,2.216
16.899,2.205
16.842,2.269
16.874,2.247
16.859,2.278
16.825,2.288
16.842,2.302
16.824,2.311
16.891,2.195
16.838,2.295
16.847,2.203
16.837,2.294
16.854,2.214
16.827,2.262
16.868,2.236
16.852,2.287
16.879,2.203
16.876,2.294
16.871,2.241
16.865,2.237
16.883,2.227
16.893,2.261
16.876,2.276
16.870,2.271
16.847,2.272
16.868,2.212
16.866,2.238
16.875,2.230
16.898,2.174
16.866,2.271
16.866,2.228
16.863,2.211
16.903,2.210
16.937,2.212
16.849,2.245
16.844,2.266
16.880,2.285
16.864,2.262
16.842,2.263
16.892,2.166
16.858,2.236
16.865,2.247
16.860,2.247
18.259,2.169
18.221,2.146
18.270,2.169
18.250,2.180
18.232,2.113
18.268,2.123
18.242,2.186
18.213,2.239
16.848,2.224
16.849,2.241
16.840,2.245
16.874,2.250
16.867,2.232
16.885,2.221
16.846,2.267
16.856,2.271
16.835,2.247
16.857,2.209
16.869,2.249
16.869,2.228
16.877,2.194
16.910,2.261
16.887,2.210
16.935,2.227
16.886,2.199
16.859,2.232
16.830,2.232
16.848,2.248
16.840,2.261
16.838,2.268
16.879,2.317
16.846,2.230
16.871,2.166
16.854,2.168
16.825,2.239
16.837,2.261
16.865,2.236
16.863,2.171
16.863,2.233
16.850,2.217
16.874,2.298
16.838,2.191
16.825,2.233
16.831,2.248
16.887,2.188
16.860,2.239
16.882,2.219
16.878,2.256
16.866,2.193
16.858,2.201
16.868,2.251
16.843,2.245
16.853,2.216
16.859,2.194
16.852,2.245
16.892,2.229
16.877,2.214
16.874,2.191
16.861,2.228
16.851,2.283
