rx,tx
22.863,2.850
22.684,3.024
22.682,3.021
22.681,3.019
22.653,3.015
22.677,3.014
22.653,3.017
22.684,3.022
22.654,3.007
22.608,3.020
22.614,3.011
22.614,3.017
22.613,3.010
22.614,3.011
22.589,3.004
22.618,3.007
22.612,3.013
22.608,3.015
22.607,3.015
22.607,3.014
22.608,3.010
22.599,3.020
22.611,2.964
22.605,3.013
22.612,3.014
22.614,3.014
22.614,3.009
22.611,3.019
22.607,2.951
22.602,3.015
22.616,3.013
22.618,3.010
22.629,2.993
22.615,2.994
22.622,2.993
22.625,3.006
22.610,3.006
22.529,2.915
22.621,2.996
22.619,2.999
22.618,3.000
22.616,3.006
22.620,3.002
22.622,3.005
22.623,3.002
22.613,3.003
22.626,3.003
22.627,3.002
22.625,3.002
22.691,2.947
22.615,3.006
22.618,3.008
22.612,3.006
22.609,3.011
22.613,3.012
22.611,3.008
22.611,3.008
22.611,3.010
22.616,3.010
22.611,3.013
22.622,2.999
22.619,3.003
22.617,3.007
22.618,3.004
22.612,3.004
22.619,2.959
22.624,3.002
22.620,3.003
22.623,3.000
22.617,3.008
22.625,2.997
22.626,3.000
22.618,3.004
22.619,3.008
22.624,3.003
22.597,3.007
22.608,3.014
22.614,3.013
22.612,3.010
22.624,3.010
22.616,3.007
22.611,3.008
22.679,2.958
21.909,3.775
21.903,3.776
21.888,3.777
21.897,3.776
21.898,3.777
21.898,3.777
21.892,3.778
21.904,3.774
21.900,3.775
21.902,3.778
21.893,3.774
21.899,3.777
21.906,3.776
21.900,3.778
21.899,3.777
21.895,3.776
21.908,3.666
21.896,3.776
21.901,3.775
21.893,3.777
21.892,3.778
21.896,3.777
21.900,3.776
21.904,3.772
21.901,3.776
21.898,3.776
21.906,3.777
21.895,3.776
21.899,3.776
21.897,3.779
21.894,3.777
21.901,3.777
21.906,3.778
21.917,3.779
21.912,3.781
21.901,3.777
21.913,3.779
21.897,3.777
21.894,3.779
21.910,3.780
21.928,3.780
21.913,3.782
21.913,3.782
21.913,3.781
21.910,3.780
21.909,3.782
21.915,3.779
21.921,3.781
21.923,3.719
21.914,3.779
21.912,3.783
21.919,3.781
21.914,3.779
21.908,3.781
21.907,3.779
21.909,3.781
21.917,3.780
21.918,3.782
21.916,3.779
21.906,3.781
21.904,3.781
21.907,3.780
21.905,3.783
21.925,3.773
21.903,3.783
21.912,3.778
21.909,3.781
21.914,3.780
21.908,3.782
21.911,3.782
21.912,3.781
21.912,3.783
21.903,3.781
21.918,3.781
21.917,3.782
21.921,3.780
21.915,3.783
21.907,3.783
21.906,3.779
21.913,3.782
21.918,3.781
21.912,3.720
21.913,3.781
21.918,3.781
21.901,3.782
21.908,3.781
21.908,3.782
21.910,3.781
21.918,3.782
21.906,3.782
21.908,3.783
21.907,3.780
21.915,3.782
21.920,3.781
21.904,3.781
21.914,3.782
21.917,3.783
21.908,3.782
21.912,3.784
21.903,3.782
21.918,3.779
21.921,3.783
21.901,3.782
21.911,3.782
21.924,3.780
21.986,3.707
22.608,3.014
22.612,3.013
22.613,3.011
22.611,3.011
22.612,3.014
22.612,3.014
22.617,3.011
22.622,2.927
22.608,3.011
22.619,3.008
22.611,3.017
22.612,3.011
22.611,3.014
22.611,3.013
22.620,3.011
22.609,3.014
22.607,3.014
22.609,3.015
22.614,3.013
22.622,3.006
22.614,3.007
22.615,3.008
22.623,3.007
22.618,3.009
22.617,3.010
22.616,3.006
22.616,2.926
22.622,3.005
22.621,3.006
22.614,3.006
22.633,2.997
22.618,3.007
22.624,3.004
22.608,3.010
22.617,3.010
22.617,3.007
22.625,3.008
22.616,3.006
22.615,3.006
22.627,3.008
22.620,3.008
22.619,3.006
22.626,3.008
22.614,3.006
22.616,3.010
22.621,3.009
22.618,3.006
22.616,3.011
22.610,3.011
22.612,3.008
22.620,3.008
22.622,3.006
22.623,3.006
22.619,3.006
22.620,3.006
22.618,3.007
22.615,3.007
22.631,3.004
22.625,3.005
22.622,3.006
22.619,3.006
22.619,3.003
22.628,3.006
22.631,3.000
22.625,3.006
22.624,3.006
22.618,3.006
22.620,3.006
22.622,3.006
22.622,3.006
22.624,3.009
22.619,3.005
22.615,3.008
22.619,3.006
22.624,3.006
22.620,3.008
22.616,3.009
22.613,3.006
22.629,2.956
22.621,3.004
22.619,3.004
22.621,3.006
22.625,3.007
22.620,3.004
22.616,3.008
22.622,3.014
22.609,3.014
22.608,3.013
22.615,3.007
22.611,3.011
22.612,3.011
22.618,3.006
22.622,3.006
22.627,3.003
22.622,3.008
22.619,3.007
22.621,3.009
22.620,3.004
22.623,3.008
22.622,3.006
22.617,3.010
22.616,3.007
22.622,3.008
22.617,3.006
22.615,3.010
22.613,3.014
22.612,3.014
22.616,3.013
22.618,3.011
22.614,3.014
22.614,3.014
