rx,tx
23.274,3.972
23.290,3.962
23.084,3.926
22.739,3.930
22.685,3.920
22.652,3.914
22.657,3.899
22.617,3.909
22.606,3.902
22.629,3.911
22.637,3.901
22.632,3.905
22.635,3.901
22.630,3.905
22.617,3.895
22.631,3.900
22.612,3.895
22.633,3.902
22.840,3.902
23.306,3.905
23.304,3.906
23.298,3.906
23.010,3.836
22.634,3.893
22.636,3.884
22.647,3.895
22.662,3.895
22.661,3.810
22.673,3.892
22.677,3.892
22.661,3.880
22.652,3.889
22.667,3.829
22.644,3.887
22.645,3.888
22.640,3.889
22.624,3.887
22.648,3.895
22.650,3.893
22.642,3.892
22.665,3.772
22.680,3.892
22.683,3.890
22.676,3.881
22.675,3.889
22.680,3.892
22.683,3.889
22.672,3.889
22.753,3.815
22.683,3.887
22.687,3.889
22.663,3.889
22.677,3.887
22.651,3.884
22.678,3.883
22.669,3.887
22.674,3.885
22.674,3.884
22.675,3.884
22.674,3.818
22.695,3.884
22.695,3.884
22.702,3.886
22.698,3.884
22.704,3.884
22.698,3.884
22.661,3.882
22.648,3.887
22.644,3.887
22.651,3.889
22.659,3.887
22.640,3.884
22.650,3.777
22.647,3.883
22.645,3.887
22.639,3.884
22.645,3.883
22.653,3.887
22.644,3.884
22.653,3.884
22.643,3.884
22.643,3.860
22.652,3.883
22.646,3.884
22.644,3.884
22.648,3.884
22.647,3.884
22.642,3.884
22.592,3.823
22.635,3.884
22.642,3.883
22.643,3.887
22.648,3.889
22.643,3.887
22.644,3.889
22.639,3.887
22.658,3.888
22.645,3.888
22.623,3.880
22.630,3.882
22.630,3.884
22.640,3.884
22.643,3.887
22.635,3.886
22.634,3.884
22.642,3.886
22.650,3.884
22.634,3.885
22.643,3.885
22.641,3.884
22.646,3.884
22.646,3.883
22.640,3.884
22.656,3.819
22.666,3.883
22.668,3.884
22.669,3.884
22.663,3.884
22.683,3.884
22.675,3.883
22.680,3.884
22.678,3.883
22.687,3.884
22.670,3.884
22.693,3.884
22.666,3.880
22.673,3.886
22.671,3.884
22.675,3.884
22.675,3.884
22.678,3.884
22.676,3.883
22.672,3.884
22.667,3.882
22.674,3.883
22.673,3.886
22.678,3.886
22.622,3.821
22.679,3.887
22.675,3.887
22.681,3.889
22.681,3.887
22.673,3.889
22.670,3.887
22.681,3.889
22.674,3.887
22.671,3.889
22.675,3.887
22.679,3.887
22.679,3.887
22.680,3.888
22.676,3.887
22.677,3.890
22.680,3.886
22.677,3.887
22.679,3.887
22.677,3.887
22.665,3.873
22.660,3.887
22.649,3.887
22.653,3.887
22.649,3.872
22.659,3.889
22.638,3.768
22.655,3.887
22.650,3.887
22.653,3.888
22.654,3.887
22.651,3.889
22.670,3.884
22.670,3.879
22.658,3.883
22.657,3.884
22.658,3.884
22.663,3.882
22.665,3.883
22.670,3.884
22.656,3.884
22.662,3.884
22.653,3.882
22.669,3.884
22.662,3.883
22.665,3.884
22.662,3.883
22.668,3.884
22.665,3.881
22.663,3.884
22.662,3.884
22.652,3.822
22.642,3.884
22.645,3.884
22.631,3.881
22.652,3.884
22.636,3.884
22.640,3.884
22.646,3.884
22.648,3.886
22.638,3.884
22.647,3.884
22.636,3.883
22.656,3.884
22.651,3.883
22.656,3.884
22.649,3.884
22.654,3.884
22.666,3.877
22.682,3.882
22.676,3.881
22.683,3.884
22.682,3.884
22.681,3.884
22.679,3.882
22.685,3.883
22.673,3.884
22.677,3.884
22.681,3.881
22.683,3.884
22.686,3.883
22.673,3.884
22.680,3.884
22.679,3.882
22.665,3.880
22.670,3.774
22.666,3.884
22.679,3.887
22.675,3.887
22.672,3.884
22.674,3.884
22.689,3.883
22.702,3.884
22.688,3.884
22.697,3.884
22.691,3.884
22.688,3.884
22.698,3.884
22.700,3.881
22.699,3.885
22.700,3.882
22.703,3.884
22.696,3.883
22.692,3.870
22.694,3.884
22.703,3.882
22.695,3.882
22.703,3.882
22.693,3.882
22.700,3.883
22.691,3.884
22.695,3.884
22.695,3.884
22.685,3.884
22.682,3.883
22.673,3.884
22.673,3.882
22.682,3.884
22.668,3.883
22.675,3.884
22.675,3.884
22.665,3.884
22.659,3.884
22.676,3.884
22.655,3.883
22.673,3.884
22.660,3.882
22.671,3.872
22.658,3.884
22.654,3.886
22.658,3.883
22.655,3.883
22.653,3.883
22.656,3.884
22.654,3.883
22.649,3.882
22.646,3.887
22.656,3.886
22.660,3.885
22.660,3.881
22.654,3.870
22.667,3.883
22.666,3.881
22.653,3.880
22.666,3.876
22.662,3.884
22.643,3.873
22.675,3.878
22.686,3.856
22.677,3.882
22.678,3.884
22.688,3.883
22.684,3.884
22.686,3.886
22.652,3.865
22.681,3.884
22.685,3.884
22.681,3.887
22.674,3.884
22.667,3.884
22.679,3.886
22.692,3.884
22.678,3.884
