rx,tx
25.928,8.896
25.621,9.403
25.659,9.403
25.626,9.377
25.654,9.390
25.564,9.402
25.539,9.401
25.556,9.391
25.529,9.394
25.575,9.202
25.563,9.410
25.537,9.403
25.573,9.402
25.562,9.402
25.549,9.362
25.559,9.378
25.572,9.399
25.521,9.401
25.558,9.394
25.527,9.396
25.579,9.402
25.530,9.186
25.574,9.394
25.530,9.395
25.576,9.398
25.525,9.402
25.569,9.399
25.569,9.389
25.553,9.382
25.591,9.399
25.530,9.397
25.533,9.394
25.541,9.407
25.568,9.394
25.597,9.196
25.609,9.399
25.587,9.408
25.619,9.400
25.600,9.400
25.571,9.401
25.602,9.403
25.609,9.384
25.587,9.401
25.576,9.401
25.588,9.400
25.660,9.372
25.603,9.401
25.610,9.194
25.583,9.401
25.600,9.397
25.602,9.396
25.608,9.395
25.629,9.400
25.580,9.372
25.587,9.393
25.556,9.379
25.580,9.392
25.608,9.396
25.589,9.395
25.584,9.391
25.582,9.408
25.603,9.395
25.588,9.397
25.578,9.389
25.573,9.202
25.556,9.395
25.566,9.389
25.530,9.393
25.547,9.400
25.514,9.400
25.575,9.399
25.548,9.391
25.564,9.391
25.572,9.391
25.546,9.397
25.584,9.394
25.602,9.399
25.590,9.385
25.598,9.401
25.577,9.397
25.618,9.405
25.568,9.401
25.584,9.399
25.568,9.195
25.609,9.400
25.551,9.407
25.577,9.400
25.544,9.394
25.581,9.396
25.565,9.401
25.546,9.372
25.570,9.383
25.561,9.393
25.568,9.397
25.584,9.400
25.571,9.391
25.590,9.194
25.553,9.391
25.577,9.401
25.583,9.394
25.573,9.393
25.572,9.395
25.552,9.401
25.550,9.371
25.566,9.402
25.571,9.396
25.594,9.396
25.571,9.388
25.599,9.399
25.589,9.197
25.618,9.400
25.553,9.391
25.599,9.389
25.571,9.399
25.581,9.401
25.572,9.367
25.577,9.399
25.562,9.394
25.580,9.394
25.598,9.393
25.618,9.391
25.576,9.189
25.559,9.384
25.567,9.387
25.581,9.387
25.581,9.389
25.588,9.400
25.609,9.394
25.565,9.376
25.573,9.394
25.555,9.401
25.607,9.389
25.609,9.394
25.584,9.390
25.592,9.199
25.553,9.391
25.597,9.399
25.591,9.396
25.575,9.393
25.605,9.391
25.595,9.362
25.692,9.393
25.645,9.396
25.620,9.391
25.650,9.391
25.628,9.395
25.672,9.388
25.636,9.387
25.618,9.389
25.597,9.387
25.656,9.389
25.600,9.391
25.668,9.390
25.608,9.388
25.681,9.389
25.651,9.379
25.685,9.390
25.656,9.373
25.673,9.374
25.646,9.393
25.661,9.396
25.681,9.378
25.614,9.389
25.636,9.382
25.635,9.383
25.660,9.378
25.616,9.389
25.631,9.384
25.629,9.360
25.671,9.385
25.642,9.182
25.605,9.372
25.629,9.387
25.656,9.389
25.579,9.388
25.616,9.387
25.634,9.394
25.627,9.388
25.587,9.391
25.621,9.385
25.596,9.388
25.629,9.387
25.616,9.385
25.597,9.380
25.607,9.384
25.584,9.393
25.606,9.387
25.624,9.379
25.595,9.387
25.620,9.359
25.635,9.384
25.590,9.384
25.603,9.394
25.602,9.400
25.603,9.388
25.585,9.378
25.602,9.385
25.543,9.391
25.608,9.385
25.566,9.385
25.615,9.387
25.620,9.391
25.634,9.387
25.610,9.387
25.572,9.384
25.628,9.385
25.602,9.382
25.588,9.357
25.586,9.382
25.581,9.380
25.594,9.388
25.616,9.387
25.615,9.385
25.635,9.385
25.537,9.385
25.594,9.374
25.593,9.387
25.607,9.382
25.622,9.387
25.609,9.383
25.599,9.387
25.595,9.390
25.631,9.378
25.596,9.378
25.659,9.377
25.600,9.376
25.610,9.400
25.591,9.389
25.602,9.391
25.585,9.387
25.616,9.387
25.591,9.389
25.611,9.389
25.583,9.391
25.580,9.385
25.573,9.387
25.592,9.397
25.597,9.391
25.610,9.387
25.587,9.382
25.633,9.391
25.590,9.391
25.596,9.390
25.598,9.385
25.339,9.191
23.459,9.402
23.212,9.409
23.187,9.407
23.187,9.411
23.196,9.419
23.200,9.411
23.178,9.407
23.186,9.420
23.184,9.420
23.194,9.425
23.185,9.411
23.217,9.419
23.196,9.418
23.195,9.410
23.206,9.420
23.194,9.425
23.195,9.423
23.207,9.422
23.171,9.414
23.202,9.422
23.205,9.423
23.201,9.419
23.181,9.410
23.205,9.422
23.193,9.423
23.209,9.416
23.210,9.417
23.196,9.418
23.202,9.420
23.199,9.418
23.186,9.418
23.212,9.423
23.201,9.423
23.183,9.414
23.191,9.410
23.176,9.422
23.209,9.422
23.217,9.419
23.195,9.422
23.189,9.423
23.192,9.428
23.215,9.400
23.209,9.418
23.200,9.424
23.187,9.422
23.194,9.425
23.188,9.422
23.209,9.424
23.204,9.403
23.191,9.427
23.169,9.408
23.184,9.420
23.177,9.424
23.185,9.416
23.190,9.417
