rx,tx
7.314,5.759
8.096,7.120
7.939,7.139
7.983,7.092
7.920,7.140
7.913,7.095
7.929,7.126
7.924,7.104
7.893,7.115
7.908,7.093
7.888,7.127
7.893,7.084
7.883,7.109
7.915,7.120
7.895,7.103
7.925,7.126
7.907,7.114
7.901,6.933
7.902,7.094
7.937,7.060
7.901,7.095
7.911,7.107
7.907,6.916
7.877,7.077
7.896,7.095
7.931,7.075
7.914,7.092
7.923,7.095
7.899,6.927
7.910,7.078
7.900,7.093
7.919,7.068
7.930,7.099
7.937,7.098
7.913,7.105
7.906,7.097
7.905,6.917
7.912,7.079
7.931,7.093
7.902,7.087
7.900,7.097
7.957,7.068
7.908,7.091
7.902,7.100
7.922,6.949
7.910,7.075
7.914,7.096
7.901,7.085
7.907,7.090
7.911,7.097
7.912,7.077
7.900,7.093
7.911,7.084
7.889,7.090
7.884,7.101
7.902,7.084
7.904,7.085
7.896,6.925
7.902,7.082
7.887,7.082
7.919,7.095
7.928,7.096
7.889,7.106
7.906,7.075
7.914,7.113
7.942,7.112
7.924,7.099
7.928,7.102
7.930,7.109
7.901,7.109
7.933,7.113
7.916,6.932
7.928,7.079
7.905,7.093
7.917,7.103
7.910,7.087
7.920,7.102
7.932,7.106
7.912,7.095
7.921,7.091
7.903,7.093
7.925,7.108
7.904,7.092
7.892,7.098
7.897,7.106
7.901,7.108
7.917,7.097
7.901,7.097
7.906,7.101
7.915,7.108
7.925,7.112
7.923,7.095
7.928,7.111
7.915,7.106
7.909,7.106
8.112,6.943
7.916,7.086
7.900,7.084
7.885,7.090
7.885,7.087
7.902,7.076
7.890,7.098
7.893,7.099
7.919,7.090
7.888,7.107
7.909,7.101
7.948,7.066
7.903,7.096
7.897,7.112
7.880,7.088
7.911,7.107
7.899,7.093
7.879,7.106
7.905,6.945
7.893,7.065
7.880,7.081
7.903,7.082
7.883,7.085
7.893,7.085
7.901,7.096
7.912,7.094
7.920,7.105
7.886,7.098
7.882,7.109
7.915,7.127
7.902,7.116
7.916,7.130
7.909,7.105
7.931,7.124
7.924,7.121
7.949,7.124
7.929,7.121
7.911,7.113
7.922,7.125
7.929,7.121
7.955,7.126
7.917,7.122
7.946,7.123
7.915,7.133
7.953,7.122
7.928,7.121
7.929,7.127
7.923,7.128
7.916,7.125
7.930,7.120
7.923,7.128
8.269,6.929
7.875,7.093
7.908,7.112
7.922,7.112
7.894,7.101
7.913,7.115
7.955,7.099
7.916,7.109
7.909,7.114
7.920,7.110
7.923,7.117
7.905,7.119
7.925,7.124
7.909,7.112
7.906,7.119
7.927,7.121
8.267,6.936
7.906,7.092
7.925,7.099
7.899,7.096
7.920,7.099
7.906,7.102
7.910,7.110
7.953,7.089
7.924,7.104
7.907,7.110
7.916,7.118
7.925,7.117
7.939,7.126
7.927,7.114
7.919,7.111
7.935,7.131
7.926,7.112
7.913,7.119
7.921,7.124
7.930,7.125
7.927,7.117
7.899,7.111
7.933,7.124
7.918,7.127
7.924,7.120
7.926,7.121
8.301,6.956
7.900,7.079
7.898,7.093
7.903,7.099
7.909,7.098
7.936,7.115
7.915,7.108
7.918,7.110
7.905,7.110
7.926,7.114
7.944,7.095
7.898,7.110
7.902,7.121
7.913,7.129
7.905,7.119
7.924,7.117
7.921,7.135
7.917,7.124
8.172,6.931
7.911,7.097
7.924,7.104
7.915,7.106
7.906,7.114
7.906,7.094
7.916,7.114
7.895,7.112
7.898,7.112
7.918,7.114
7.907,7.117
7.923,7.130
7.930,7.126
7.926,7.122
7.959,7.093
7.924,7.127
7.916,7.126
7.921,7.117
7.921,7.124
7.918,7.126
7.905,7.116
7.923,7.126
7.907,7.130
7.903,7.126
7.918,7.119
7.928,7.117
7.912,7.118
7.919,7.128
8.141,6.967
7.891,7.078
7.925,7.098
7.927,7.103
7.909,7.106
7.887,7.101
7.911,7.104
7.911,7.120
7.924,7.121
7.885,7.112
7.952,7.113
7.929,7.119
7.930,7.119
7.915,7.112
7.934,7.124
7.895,7.121
7.922,7.121
7.894,7.116
7.918,7.132
7.921,7.126
7.934,7.126
7.893,7.117
7.916,7.115
7.928,7.121
7.921,7.128
7.901,7.117
7.912,7.130
7.918,7.115
7.907,7.125
7.921,7.121
7.931,7.132
7.905,7.125
7.921,7.130
7.928,7.122
7.928,7.126
7.908,7.118
7.936,7.120
7.930,7.128
7.914,7.130
7.941,7.132
7.918,7.134
7.905,7.126
7.931,7.134
7.920,7.133
7.924,7.130
7.907,7.126
7.929,7.137
7.919,7.137
7.916,7.135
7.886,7.129
7.918,7.135
7.920,7.135
7.915,7.127
7.928,7.127
7.930,7.118
7.943,7.130
7.932,7.137
8.270,6.938
7.928,7.096
7.914,7.101
7.939,7.115
7.912,7.110
7.925,7.113
7.925,7.119
7.957,7.121
7.947,7.116
