rx,tx
39.866,6.694
39.844,6.166
39.864,6.150
39.867,6.104
39.830,7.054
39.139,9.129
39.861,12.799
39.864,10.809
39.864,12.861
39.867,12.812
39.859,12.208
39.869,14.178
39.862,12.911
39.863,12.886
39.864,14.632
39.862,13.961
39.863,13.894
39.864,13.750
39.687,11.911
39.866,8.174
39.868,8.436
39.866,11.873
39.867,7.675
39.866,7.318
39.681,8.468
39.867,8.621
39.863,7.987
39.864,8.400
39.862,7.603
39.859,8.242
39.864,9.090
39.689,6.954
39.863,7.664
39.862,7.198
39.863,9.977
39.866,14.520
39.503,13.171
39.863,15.833
39.864,14.727
39.866,16.157
39.862,13.873
39.864,14.557
39.869,14.205
39.869,13.354
39.860,13.266
39.839,12.989
39.865,13.292
39.864,7.294
39.861,7.105
39.866,7.535
39.864,7.410
39.866,8.409
39.689,9.357
39.863,10.793
39.865,8.486
39.865,8.608
39.866,7.969
39.864,11.315
39.837,10.065
39.864,10.180
39.861,7.204
39.868,8.724
39.868,10.037
39.864,10.736
39.866,11.737
39.866,12.565
39.862,11.598
39.866,12.328
39.868,12.947
39.864,14.777
39.863,12.849
39.866,13.863
39.832,13.833
39.862,12.499
39.864,6.857
39.863,9.193
39.865,8.246
39.860,7.975
39.860,8.939
39.865,11.557
39.865,11.198
39.864,9.107
39.865,7.458
39.690,9.580
39.865,16.587
39.853,13.428
39.862,14.845
39.866,14.746
39.860,15.706
39.860,15.814
39.832,14.376
39.863,14.489
39.862,14.648
39.862,14.572
39.861,9.675
39.862,12.396
39.863,15.662
39.861,15.361
39.862,15.515
39.863,15.913
39.863,15.697
39.864,14.935
39.865,15.579
39.864,14.886
39.863,15.043
39.866,15.773
39.867,14.295
39.868,15.675
39.869,15.713
39.870,15.670
39.864,15.918
39.867,14.359
39.862,12.876
39.866,6.700
39.865,6.589
39.865,6.663
39.866,6.688
39.870,6.659
39.865,6.692
39.870,7.084
39.864,7.283
39.862,7.635
39.863,7.801
39.863,7.778
39.863,7.740
39.862,8.106
39.863,7.661
39.862,7.790
39.863,7.791
39.870,7.784
39.865,8.012
39.863,7.814
39.865,7.726
39.864,6.619
39.865,6.311
39.864,6.348
39.864,6.559
39.867,6.700
39.864,6.697
39.867,6.675
39.866,6.648
39.869,6.667
39.866,6.583
39.863,6.482
39.865,6.660
39.869,6.644
39.868,6.731
39.867,6.578
39.868,6.669
39.866,6.787
39.863,7.487
39.837,7.658
39.862,7.793
39.866,7.757
39.863,7.712
39.863,8.300
39.867,7.846
39.863,7.778
39.865,7.802
39.863,7.767
39.863,7.759
39.860,7.783
39.865,6.873
39.865,6.400
39.863,6.451
39.867,6.670
39.868,6.654
39.867,6.713
39.869,6.612
39.867,6.655
39.869,6.702
39.685,6.563
39.868,6.708
39.866,6.661
39.868,6.585
39.865,6.657
39.870,6.717
39.866,6.692
39.864,6.362
39.864,7.489
39.863,7.471
39.863,7.375
39.863,7.762
39.862,7.712
39.862,7.743
39.864,7.762
39.861,7.729
39.863,7.459
39.863,8.087
39.862,7.638
39.862,7.685
39.863,7.650
39.861,7.651
39.862,6.192
39.865,6.265
39.864,6.400
39.863,6.302
39.864,6.214
39.867,6.197
39.862,6.136
39.866,6.104
39.863,6.100
39.864,6.373
39.865,5.847
39.865,6.150
39.864,6.184
39.861,6.402
39.864,7.342
39.863,7.376
