rx,tx
39.863,5.964
39.870,7.410
39.864,7.313
39.862,7.472
39.866,7.615
39.870,7.601
39.839,7.906
39.873,7.568
39.845,7.558
39.866,7.120
39.867,6.179
39.867,6.270
39.689,5.723
39.737,6.468
39.870,6.413
39.865,6.410
39.863,6.157
39.871,6.046
39.860,6.081
39.866,6.077
39.866,6.110
39.868,6.006
39.684,5.744
39.864,6.616
39.864,7.297
39.867,7.348
39.863,7.893
39.868,7.602
39.865,7.576
39.865,7.543
39.867,7.570
39.870,7.676
39.864,7.806
39.863,7.058
39.865,6.118
39.862,6.079
39.863,6.068
39.869,5.783
39.690,5.950
39.868,5.992
39.858,6.035
39.867,6.136
39.868,6.097
39.863,6.088
39.866,6.103
39.868,6.035
39.866,7.163
39.862,7.342
39.865,7.520
39.864,7.596
39.862,7.658
39.863,7.475
39.863,7.904
39.861,7.567
39.861,7.606
39.862,7.608
39.863,7.557
39.862,6.360
39.863,6.260
39.862,6.270
39.866,6.589
39.814,6.114
39.863,6.243
39.862,6.189
39.870,6.180
39.869,6.153
39.867,5.788
39.867,6.086
39.867,6.413
39.864,6.393
39.863,6.288
39.863,7.050
39.870,7.324
39.864,7.669
39.155,7.500
39.861,7.588
39.866,7.649
39.866,7.601
39.868,7.633
39.864,7.852
39.867,7.134
39.868,6.213
39.863,6.217
39.867,6.195
39.863,6.183
39.870,5.850
39.866,6.150
39.866,6.085
39.863,6.087
39.864,6.109
39.865,6.141
39.866,6.088
39.863,6.125
39.866,6.398
40.246,7.180
39.864,7.249
39.869,6.891
39.867,7.603
39.870,7.603
39.868,7.415
39.868,6.269
39.864,6.260
39.864,6.312
39.866,5.677
39.865,6.226
39.864,6.271
39.863,6.311
39.864,6.460
39.866,6.304
39.862,6.351
39.866,6.314
39.861,6.395
39.867,6.336
39.866,6.389
39.867,6.644
39.865,7.189
39.861,7.290
39.865,6.958
39.866,6.425
39.867,6.421
39.868,6.360
39.868,6.330
39.864,6.360
39.867,6.486
39.865,6.388
39.869,6.259
39.870,6.378
39.867,6.368
39.872,6.394
39.866,6.331
39.869,6.383
39.862,6.390
39.863,6.409
39.866,6.888
39.865,7.333
39.866,7.329
39.868,7.649
39.687,7.615
39.862,7.595
39.863,7.631
39.864,7.900
39.618,6.929
39.860,7.649
39.865,7.776
39.864,7.583
39.865,7.591
39.864,7.576
39.865,7.847
39.864,7.153
39.864,6.362
39.872,6.360
39.867,6.403
39.862,6.353
39.869,6.380
39.869,6.141
39.864,6.287
39.868,6.192
39.866,6.246
39.860,6.389
39.864,6.336
39.865,6.402
39.862,6.349
39.865,6.336
39.862,6.498
39.862,7.359
39.867,7.581
39.866,7.311
39.864,7.537
39.867,7.580
39.864,7.564
39.866,7.836
39.865,7.549
39.863,7.541
39.862,7.586
39.867,7.828
39.866,7.576
39.869,7.552
39.866,7.560
39.873,6.311
39.869,6.354
39.862,6.329
39.862,6.269
39.862,6.188
39.867,6.156
39.875,6.213
39.867,6.189
39.866,6.257
39.864,6.251
39.863,6.277
39.864,6.466
39.866,6.276
39.867,6.289
39.864,6.745
39.864,7.250
39.865,7.331
39.868,7.032
39.866,6.409
39.868,6.481
39.865,6.396
39.862,6.306
39.864,6.384
39.863,6.321
39.866,5.834
39.865,6.149
39.866,6.082
39.861,6.075
39.864,6.150
39.861,6.354
39.864,6.260
39.869,6.416
39.862,7.343
39.865,7.295
39.865,7.073
39.688,6.235
39.866,6.341
39.867,6.181
39.867,6.323
39.866,6.294
39.868,6.378
39.862,6.468
39.862,6.413
39.865,6.311
39.865,6.190
39.861,6.330
39.867,6.259
39.864,6.260
39.863,6.166
39.863,6.585
39.871,7.692
39.838,7.295
39.736,7.064
39.866,6.306
39.864,6.242
39.864,6.349
39.866,6.363
39.865,6.284
39.865,6.450
39.869,6.274
39.865,6.238
39.862,6.166
39.867,6.223
39.864,6.266
39.863,6.156
39.866,6.184
39.862,6.146
39.861,7.294
39.863,7.289
39.863,7.456
39.865,6.255
39.862,6.275
39.863,6.254
39.863,6.234
39.864,6.253
39.863,6.128
39.865,6.036
39.863,6.238
39.864,6.116
39.869,6.207
39.863,6.129
39.865,6.204
39.865,6.343
39.863,6.452
39.867,7.277
39.866,7.325
39.862,7.236
39.865,6.137
39.862,6.215
39.861,6.072
39.864,6.115
39.868,6.180
39.868,6.239
39.865,6.140
39.863,6.124
39.861,6.295
39.864,6.021
39.866,6.372
39.865,6.225
39.863,6.341
39.864,6.878
39.865,7.358
39.867,7.366
39.864,6.971
39.865,6.228
39.864,6.295
39.865,6.195
39.865,6.213
39.838,6.441
39.867,6.424
39.865,6.344
39.866,6.197
39.867,6.177
39.864,6.224
39.867,6.265
39.865,6.435
39.864,6.312
39.868,6.351
39.862,7.184
39.863,7.380
39.866,7.526
39.869,5.894
