rx,tx
38.704,2.066
38.665,2.189
38.422,2.405
38.519,2.143
38.505,2.184
38.630,2.162
38.613,2.170
38.577,2.416
38.573,2.197
38.563,2.177
38.389,2.177
38.524,2.172
38.570,2.208
38.454,2.532
38.563,2.162
38.504,2.234
38.587,2.182
38.675,2.189
38.689,2.162
38.346,2.409
38.510,2.220
38.599,2.193
38.319,2.232
38.442,2.186
38.445,2.171
38.525,2.338
38.641,2.189
37.795,2.089
34.527,2.184
37.282,2.191
38.291,2.162
38.012,2.285
37.675,2.433
37.945,2.180
38.196,2.170
37.468,2.189
34.412,2.187
38.274,2.329
38.626,2.283
38.641,2.074
38.545,2.169
38.602,2.192
38.385,2.380
38.492,2.164
38.629,2.173
38.683,2.184
38.584,0.534
38.572,2.332
38.626,2.162
38.503,2.166
38.665,2.175
38.649,2.392
38.643,2.180
38.667,2.216
38.659,2.162
38.365,2.171
38.615,2.431
38.701,2.154
38.396,2.186
38.663,2.173
38.629,2.403
38.680,2.159
38.706,2.171
38.716,2.157
38.724,2.434
38.612,2.215
38.662,2.180
38.633,2.186
38.649,2.173
38.602,2.331
38.583,2.277
38.689,2.157
38.671,2.175
38.662,2.238
38.655,2.172
38.588,2.540
38.433,2.184
38.592,2.200
38.577,2.304
38.572,2.195
38.708,2.162
38.599,2.229
34.683,2.419
31.400,2.165
38.575,2.174
38.341,2.193
38.691,2.201
38.688,2.323
38.390,2.316
38.442,2.171
38.660,2.225
38.668,2.176
38.658,2.192
38.724,2.175
38.382,2.436
38.638,2.202
38.413,2.279
38.627,2.216
38.637,2.184
38.626,2.177
